ticker,day,success_oper_flag,timeout_flag,end_of_interval_flag,best_risk,best_risk_days,min_risk,min_risk_days,max_risk,max_risk_days
ABEV3,2018-01-12,1,0,0,0.0138,14,0.0105,14,0.0454,56
ABEV3,2018-01-15,1,0,0,0.0435,40,0.02,25,0.047,55
ABEV3,2018-01-16,1,0,0,0.0038,2,0.0005,2,0.0432,54
ABEV3,2018-01-17,1,0,0,0.0374,38,0.0357,38,0.0409,53
ABEV3,2018-01-18,1,0,0,0.038,37,0.0342,35,0.0415,52
ABEV3,2018-01-19,1,0,0,0.0403,51,0.0372,51,0.0403,51
ABEV3,2018-01-22,1,0,0,0.0384,35,0.0332,33,0.0418,50
ABEV3,2018-01-23,1,0,0,0.0384,34,0.0332,32,0.0418,49
ABEV3,2018-01-24,1,0,0,0.0372,33,0.0362,33,0.0407,48
ABEV3,2018-01-26,1,0,0,0.0104,5,0.0104,5,0.0416,47
ABEV3,2018-01-29,1,0,0,0.012,4,0.0057,3,0.0434,46
ABEV3,2018-01-30,1,0,0,0.0413,30,0.0256,26,0.0448,45
