Datetime,Open,Max,Min,Close,Volume,PEAKS,EMA_17,EMA_72,UDT_COEF,UDT_STATUS
2020-07-28 17:00:00,100.0500,100.0500,100.0500,100.0500,295720,0,100.0950,99.1579,0.0149,1
2020-07-29 10:00:00,100.9300,101.3000,100.8600,101.2300,541590,0,100.2211,99.2147,0.0266,1
2020-07-29 11:00:00,101.1900,101.4500,101.0800,101.2400,737210,0,100.3343,99.2701,0.0267,1
2020-07-29 12:00:00,101.2300,101.3600,101.1100,101.3100,613390,0,100.4427,99.3260,0.0274,1
2020-07-29 13:00:00,101.2900,101.3300,100.9300,101.0100,1116550,0,100.5058,99.3722,0.0244,1
2020-07-29 14:00:00,101.0000,101.3900,100.8900,101.2900,594570,0,100.5929,99.4247,0.0272,1
2020-07-29 15:00:00,101.2800,101.7700,101.2400,101.3200,1177710,1,100.6737,99.4766,0.0208,1
2020-07-29 16:00:00,101.3100,101.6400,101.2300,101.5000,1398800,0,100.7655,99.5321,0.0221,1
2020-07-29 17:00:00,101.4800,101.4800,101.4800,101.4800,201820,0,100.8449,99.5854,0.0219,1
2020-07-30 10:00:00,100.7500,101.7500,100.5000,100.5100,1326700,0,100.8077,99.6108,0.0151,1
2020-07-30 11:00:00,100.5000,100.6000,99.9900,100.3000,1104550,0,100.7513,99.6297,0.0136,1
2020-07-30 12:00:00,100.3200,100.9500,100.2200,100.8900,770260,0,100.7667,99.6642,0.0178,1
2020-07-30 13:00:00,100.9000,101.2800,100.8800,100.9900,994520,0,100.7915,99.7005,0.0185,1
2020-07-30 14:00:00,100.9800,101.2400,100.7400,100.9300,1011180,0,100.8069,99.7342,0.0181,1
2020-07-30 15:00:00,100.9400,101.0700,100.8200,100.8700,676780,0,100.8139,99.7653,0.0176,1
2020-07-30 16:00:00,100.9000,101.2000,100.8500,101.0800,865550,0,100.8435,99.8013,0.0191,1
2020-07-30 17:00:00,101.3100,101.3100,101.3100,101.3100,580580,0,100.8953,99.8427,0.0207,1
2020-07-31 10:00:00,101.4000,101.4400,99.9000,100.2400,1356290,0,100.8225,99.8536,0.0132,1
